State,Region,2016 Adjusted,True Margin,2020 Adjusted,Evs,2020 Votes,Poll Margin,Number of Polls,Midterm Adjusted,Districts
AK,West,-16.83,-10.06,-14.51,3,359530,0,0,25.1,1
AL,South,-29.83,-25.46,-29.91,8,2323282,0,0,-3.96,5
AR,South,-29.02,-27.62,-32.07,6,1219069,0,0,-3.75,4
AZ,West,-5.65,0.31,-4.14,12,3387326,1.3,7,4.34,7
CA,West,28.01,29.16,24.71,54,17500871,25,1,-2.27,45
CO,West,2.81,13.5,9.05,10,3256980,0,0,4.67,8
CT,East,11.54,20.03,15.58,7,1824273,0,0,0.36,5
DC,South,84.68,86.75,82.3,3,344356,0,0,5.1,0
DE,East,9.27,18.97,14.52,3,504346,0,0,-1.4,1
FL,South,-3.3,-3.36,-7.81,30,11067456,-4.7,5,-6.56,25
GA,South,-7.23,0.24,-4.21,16,4997716,-1.1,6,0.79,14
HI,West,30.08,29.46,25.01,4,574469,0,0,12.8,2
IA,Midwest,-11.51,-8.2,-12.65,6,1690871,0,0,0.35,16
ID,West,-33.87,-30.78,-35.23,4,867884,0,0,-0.45,2
IL,Midwest,14.96,16.99,12.54,19,6033744,0,0,1.71,16
IN,Midwest,-21.27,-16.06,-20.51,11,3033112,0,0,0.19,9
KS,Midwest,-22.7,-14.65,-19.1,6,1372303,0,0,4.62,4
KY,South,-31.94,-25.94,-30.39,8,2136768,0,0,-1.05,6
LA,South,-21.74,-18.61,-23.06,8,2148062,0,0,-7.03,4
MA,East,25.1,33.46,29.01,11,3631402,0,0,5.41,8
MD,East,24.32,33.21,28.76,10,3037030,0,0,4.17,8
ME,East,0.86,9.07,4.62,4,819461,9,1,12.75,2
MI,Midwest,-2.33,2.78,-1.67,15,5539302,2.5,7,5.29,13
MN,Midwest,-0.58,7.11,2.66,9,3277171,5,1,0.45,8
MO,Midwest,-20.74,-15.39,-19.84,10,3025962,0,0,0.56,8
MS,South,-19.93,-16.54,-20.99,6,1313894,0,0,-6.93,4
MT,West,-22.52,-16.37,-20.82,4,603674,-15.7,3,2.15,2
NC,South,-5.76,-1.35,-5.8,16,5524804,-0.4,5,2.05,14
ND,Midwest,-37.83,-33.36,-37.81,3,361819,0,0,5.1,0
NE,Midwest,-27.15,-19.06,-23.51,5,956383,0,0,-3.07,3
NH,East,-1.73,7.35,2.9,4,806182,6,3,7.65,2
NJ,East,12,15.94,11.49,14,4549353,0,0,0.75,12
NM,West,6.11,10.79,6.34,5,923965,7,1,4.23,3
NV,West,0.32,2.39,-2.06,6,1405376,-1.2,5,0.12,4
NY,East,20.39,23.11,18.66,28,8594826,14,1,-4.47,24
OH,Midwest,-10.23,-8.03,-12.48,18,5922202,-10,2,1.02,15
OK,South,-39.18,-33.09,-37.54,7,1560699,0,0,2.54,5
OR,West,8.88,16.08,11.63,8,2374321,5,1,-2.2,6
PA,East,-2.82,1.16,-3.29,19,6915283,1.4,6,4.31,14
RI,East,13.41,20.77,16.32,4,517757,0,0,-0.25,2
SC,South,-16.37,-11.68,-16.13,9,2513329,0,0,-3.94,5
SD,Midwest,-31.89,-26.18,-30.63,3,422609,0,0,5.1,0
TN,South,-28.11,-23.21,-27.66,11,3053851,0,0,-0.86,9
TX,South,-11.09,-5.58,-10.03,40,11315056,-7,1,-0.48,32
UT,West,-20.18,-20.48,-24.93,6,1488289,0,0,-5.45,4
VA,South,3.22,10.11,5.66,13,4460524,0,0,-1.04,11
VT,East,24.31,35.41,30.96,3,367428,0,0,4.4,1
WA,West,13.61,19.2,14.75,12,4087631,0,0,1.69,10
WI,Midwest,-2.87,0.63,-3.82,10,3298041,2.9,6,2.85,6
WV,South,-44.17,-39.9,-44.35,4,794731,0,0,9.55,2
WY,West,-48.4,-43.38,-47.83,3,276765,0,0,4.6,1
