Game Number,Date,Opponent,Result,Runs Scored,Runs Allowed,C,1B,2B,3B,SS,LF,CF,RF,P,DH
1,1-Apr,COL,L,5,8,Barnes,Muncy,Lux,Turner,Seager,Taylor,Bellinger,Betts,Kershaw,
2,2-Apr,COL,W,11,6,Smith,Muncy,Lux,Turner,Seager,Pollock,Bellinger,Betts,Bauer,
3,3-Apr,COL,W,6,5,Barnes,Muncy,Lux,Rios,Seager,Pollock,Bellinger,Taylor,Buehler,
4,4-Apr,COL,W,4,2,Smith,Muncy,McKinstry,Turner,Lux,Pollock,Taylor,Betts,Urias,
5,5-Apr,OAK,W,10,3,Smith,Rios,Taylor,Turner,Seager,McKinstry,Bellinger,Betts,May,Muncy
6,6-Apr,OAK,W,5,1,Barnes,Muncy,Lux,Rios,Seager,Pollock,Betts,McKinstry,Kershaw,Turner
7,7-Apr,OAK,L,3,4,Smith,Muncy,Lux,Turner,Seager,Pollock,Taylor,McKinstry,Bauer,Barnes
8,9-Apr,WSN,W,1,0,Smith,Muncy,Lux,Turner,Seager,Pollock,Taylor,McKinstry,Buehler,
9,10-Apr,WSN,W,9,5,Smith,Muncy,Lux,Turner,Seager,Pollock,Taylor,McKinstry,Urias,
10,11-Apr,WSN,W,3,0,Barnes,Muncy,Lux,Turner,Seager,McKinstry,Taylor,Rios,Kershaw,
11,13-Apr,COL,W,7,0,Smith,Muncy,Lux,Rios,Seager,Pollock,Taylor,Betts,Bauer,
12,14-Apr,COL,W,4,2,Barnes,Muncy,Lux,Turner,Seager,Beaty,Betts,McKinstry,May,
13,15-Apr,COL,W,7,5,Smith,Rios,Muncy,Turner,Taylor,Raley,Pollock,McKinstry,Urias,
14,16-Apr,SDP,W,11,6,Smith,Muncy,McKinstry,Turner,Seager,Raley,Taylor,Betts,Buehler,
15,17-Apr,SDP,W,2,0,Barnes,Muncy,Taylor,Turner,Seager,Raley,Betts,McKinstry,Kershaw,
16,18-Apr,SDP,L,2,5,Smith,Muncy,Neuse,Turner,Seager,Pollock,Taylor,Betts,Bauer,
17,19-Apr,SEA,L,3,4,Smith,Rios,Taylor,Neuse,Seager,Pollock,Betts,McKinstry,May,Turner
18,20-Apr,SEA,W,1,0,Barnes,Rios,Muncy,Turner,Seager,Pollock,Taylor,McKinstry,Urias,Smith
19,22-Apr,SDP,L,2,3,Smith,Muncy,Neuse,Turner,Seager,Pollock,Betts,Raley,Buehler,
20,23-Apr,SDP,L,1,6,Barnes,Rios,Muncy,Turner,Seager,Pollock,Betts,Raley,Kershaw,
21,24-Apr,SDP,W,5,4,Smith,Muncy,Neuse,Turner,Seager,Pollock,Peters,Betts,Bauer,
22,25-Apr,SDP,L,7,8,Barnes,Muncy,Taylor,Turner,Seager,Beaty,Betts,Raley,May,
23,26-Apr,CIN,L,3,5,Smith,Muncy,Lux,Rios,Seager,Raley,Taylor,Betts,Urias,
24,27-Apr,CIN,L,5,6,Smith,Muncy,Lux,Turner,Seager,Beaty,Taylor,Betts,Buehler,
25,28-Apr,CIN,W,8,0,Barnes,Muncy,Taylor,Turner,Lux,Pollock,Betts,Raley,Kershaw,
26,29-Apr,MIL,L,1,2,Smith,Muncy,Neuse,Turner,Seager,Pollock,Taylor,Betts,Bauer,
27,30-Apr,MIL,L,1,3,Smith,Muncy,Lux,Turner,Seager,Pollock,Taylor,Beaty,Uceta,
28,1-May,MIL,L,5,6,Barnes,Muncy,Lux,Turner,Seager,Pollock,Betts,Beaty,May,
29,2-May,MIL,W,16,4,Smith,Beaty,Lux,Turner,Seager,Pollock,Taylor,Betts,Urias,
30,4-May,CHC,L,1,7,Barnes,Muncy,Lux,Turner,Seager,Pollock,Taylor,Betts,Kershaw,
31,4-May,CHC,L,3,4,Smith,Muncy,Lux,Rios,Seager,Pollock,Taylor,Betts,Bauer,
32,5-May,CHC,L,5,6,Smith,Muncy,Lux,Turner,Seager,Beaty,Taylor,Betts,Buehler,
33,7-May,LAA,L,2,9,Smith,Muncy,Lux,Turner,Seager,Pollock,Taylor,Betts,Urias,Beaty
34,8-May,LAA,W,14,11,Barnes,Muncy,Lux,Turner,Seager,Beaty,Taylor,Betts,Kershaw,Smith
35,9-May,LAA,L,1,2,Smith,Muncy,Lux,Neuse,Seager,Taylor,Betts,Peters,Bauer,Turner
36,11-May,SEA,W,6,4,Smith,Muncy,Lux,Turner,Seager,Neuse,Taylor,Betts,Buehler,
37,12-May,SEA,W,7,1,Smith,Muncy,Lux,Turner,Seager,Beaty,Taylor,Betts,Urias,
38,14-May,MIA,W,9,6,Barnes,Muncy,Lux,Turner,Seager,Pollock,Taylor,Betts,Kershaw,
39,15-May,MIA,W,7,0,Smith,Muncy,Lux,Turner,Seager,Beaty,Taylor,Betts,Bauer,
40,16-May,MIA,L,2,3,Barnes,Muncy,Neuse,Turner,Lux,Beaty,Betts,Raley,Nelson,
41,17-May,ARI,W,3,1,Smith,Pujols,Muncy,Turner,Lux,Neuse,Peters,Betts,Buehler,
42,18-May,ARI,W,9,1,Smith,Pujols,Muncy,Taylor,Lux,Tsutsugo,Betts,Beaty,Urias,
43,19-May,ARI,W,4,2,Barnes,Muncy,Taylor,Turner,Lux,Tsutsugo,Betts,Beaty,Kershaw,
44,20-May,ARI,W,3,2,Smith,Pujols,Muncy,Turner,Lux,Tsutsugo,Taylor,Betts,Price,
45,21-May,SFG,W,2,1,Smith,Pujols,Neuse,Turner,Lux,Taylor,Peters,Betts,Bauer,
46,22-May,SFG,W,6,3,Barnes,Pujols,Muncy,Turner,Lux,Beaty,Taylor,Peters,Buehler,
47,23-May,SFG,W,11,5,Smith,Beaty,Muncy,Turner,Lux,Tsutsugo,Taylor,Peters,Urias,
48,25-May,HOU,W,9,2,Barnes,Pujols,Muncy,Turner,Lux,Beaty,Taylor,Betts,Kershaw,Smith
49,26-May,HOU,L,2,5,Smith,Beaty,Muncy,Neuse,Lux,Tsutsugo,Taylor,Betts,Bauer,Turner
50,27-May,SFG,W,4,3,Barnes,Pujols,Muncy,Turner,Taylor,Neuse,Peters,Betts,Price,
51,28-May,SFG,L,5,8,Smith,Beaty,Muncy,Turner,Lux,Tsutsugo,Taylor,Betts,Buehler,
52,29-May,SFG,L,6,11,Smith,Pujols,Muncy,Turner,Lux,Beaty,Bellinger,McKinstry,Urias,
